"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2017-03-24 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","40","1","Good"
"2017-03-25 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","58","2","Moderate"
"2017-03-25 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","54","2","Moderate"
"2017-03-26 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","35","1","Good"
"2017-03-26 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","58","2","Moderate"
"2017-03-27 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","49","1","Good"
"2017-03-27 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","22","1","Good"
"2017-03-28 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","51","2","Moderate"
"2017-03-28 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","55","2","Moderate"
"2017-03-29 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","44","1","Good"
"2017-03-29 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","19","1","Good"
"2017-03-30 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","37","1","Good"
"2017-03-30 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","25","1","Good"
"2017-03-31 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","36","1","Good"
"2017-03-31 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","21","1","Good"
"2017-04-01 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","37","1","Good"
"2017-04-01 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","24","1","Good"
"2017-04-02 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","46","1","Good"
"2017-04-02 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","22","1","Good"
"2017-04-03 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","45","1","Good"
"2017-04-03 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","23","1","Good"
"2017-04-04 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","48","1","Good"
"2017-04-04 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","16","1","Good"
"2017-04-05 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","50","1","Good"
"2017-04-05 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","14","1","Good"
"2017-04-06 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","37","1","Good"
"2017-04-06 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","11","1","Good"
"2017-04-07 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","41","1","Good"
"2017-04-07 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","13","1","Good"
"2017-04-08 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","51","2","Moderate"
"2017-04-08 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","17","1","Good"
"2017-04-09 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","71","2","Moderate"
"2017-04-09 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","27","1","Good"
"2017-04-10 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","77","2","Moderate"
"2017-04-10 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","43","1","Good"
"2017-04-11 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","87","2","Moderate"
"2017-04-11 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","49","1","Good"
"2017-04-12 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","54","2","Moderate"
"2017-04-12 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","26","1","Good"
"2017-04-13 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","51","2","Moderate"
"2017-04-13 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","27","1","Good"
"2017-04-14 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","77","2","Moderate"
"2017-04-14 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","38","1","Good"
"2017-04-15 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","84","2","Moderate"
"2017-04-15 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","44","1","Good"
"2017-04-16 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","47","1","Good"
"2017-04-16 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","30","1","Good"
"2017-04-17 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","50","1","Good"
"2017-04-17 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","17","1","Good"
"2017-04-18 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","64","2","Moderate"
"2017-04-18 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","20","1","Good"
"2017-04-19 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","42","1","Good"
"2017-04-19 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","24","1","Good"
"2017-04-20 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","46","1","Good"
"2017-04-20 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","21","1","Good"
"2017-04-21 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","54","2","Moderate"
"2017-04-21 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","16","1","Good"
"2017-04-22 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","29","1","Good"
"2017-04-22 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","21","1","Good"
"2017-04-23 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","40","1","Good"
"2017-04-23 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","13","1","Good"
"2017-04-24 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","47","1","Good"
"2017-04-24 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","20","1","Good"
"2017-04-25 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","39","1","Good"
"2017-04-25 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","12","1","Good"
"2017-04-26 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","44","1","Good"
"2017-04-26 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","12","1","Good"
"2017-04-27 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","50","1","Good"
"2017-04-27 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","45","1","Good"
"2017-04-28 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","49","1","Good"
"2017-04-28 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","51","2","Moderate"
"2017-04-29 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","48","1","Good"
"2017-04-29 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","38","1","Good"
"2017-04-30 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","43","1","Good"
"2017-04-30 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","35","1","Good"
"2017-05-01 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","44","1","Good"
"2017-05-01 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","24","1","Good"
"2017-05-02 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","54","2","Moderate"
"2017-05-02 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","13","1","Good"
"2017-05-03 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","45","1","Good"
