"DateObserved","HourObserved","LocalTimeZone","ReportingArea","StateCode","Latitude","Longitude","ParameterName","AQI","CategoryNumber","CategoryName"
"2014-04-22 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","54","2","Moderate"
"2014-04-22 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","54","2","Moderate"
"2014-04-23 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","42","1","Good"
"2014-04-23 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","28","1","Good"
"2014-04-24 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","58","2","Moderate"
"2014-04-24 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","23","1","Good"
"2014-04-25 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","51","2","Moderate"
"2014-04-25 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","35","1","Good"
"2014-04-26 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","51","2","Moderate"
"2014-04-26 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","35","1","Good"
"2014-04-27 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","54","2","Moderate"
"2014-04-27 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","20","1","Good"
"2014-04-28 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","42","1","Good"
"2014-04-28 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","27","1","Good"
"2014-04-29 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","39","1","Good"
"2014-04-29 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","12","1","Good"
"2014-04-30 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","44","1","Good"
"2014-04-30 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","22","1","Good"
"2014-05-01 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","44","1","Good"
"2014-05-01 ","0","EST","Winchester","VA","39.15","-78.15","PM2.5","23","1","Good"
"2014-05-02 ","0","EST","Winchester","VA","39.15","-78.15","OZONE","43","1","Good"
